medicine_name,indication,contraindications,pregnancy_category,source,pregnancy_risk
ibuprofen chewable tablets,pain,"hyperkalemia, severe kidney disease, renal failure, kidney failure",C,drugsdotcom,MEDIUM
ibuprofen injection,pain,"heart attack, stroke, anemia, hyperkalemia, severe kidney disease, renal failure, kidney failure",C,drugsdotcom,MEDIUM
indapamide,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to thiazide-like diuretics, concurrent lithium, pregnancy (especially in the first trimester), concurrent potassium-sparing diuretics.",B,drugsdotcom,LOW
indomethacin (oral route),osteoarthritis | pain,depression,C,drugsdotcom,MEDIUM
insulin (inhalation),diabetes (type 1),bronchospasm,C,drugsdotcom,MEDIUM
insulin aspart,diabetes (type 1),"renal impairment, hypersensitivity to insulin aspart or other insulin products, concurrent beta-blockers, concurrent NSAIDs, concurrent fibrates, concurrent oral hypoglycemic agents, pregnancy in severe insulin resistance or ketoacidosis.",B,drugsdotcom,LOW
insulin aspart and insulin aspart protamine,diabetes (type 1),"renal impairment, hypersensitivity to insulin aspart or protamine, concurrent beta-blockers, concurrent NSAIDs, concurrent fibrates, concurrent oral hypoglycemics, concurrent warfarin, pregnancy in severe insulin resistance or ketoacidosis.",B,drugsdotcom,LOW
insulin degludec,diabetes (type 1),"renal impairment, hypersensitivity reactions, concurrent beta-blockers, concurrent ACE inhibitors, concurrent NSAIDs, concurrent fibrates, concurrent warfarin, concurrent sulfonylureas, concurrent thiazides, concurrent potassium-sparing diuretics, concurrent calcium channel blockers, concurrent sympathomimetics, concurrent thyroid medications, concurrent corticosteroids, concurrent estrogens, concurrent progestins,",C,drugsdotcom,MEDIUM
insulin degludec and liraglutide,diabetes (type 2),pancreatitis,N,drugsdotcom,UNKNOWN
insulin degludec brand name: tresiba,diabetes (type 1),"diabetes, hypoglycemia, heart failure",C,drugsdotcom,MEDIUM
insulin detemir,diabetes (type 1),"renal impairment, hypersensitivity to insulin detemir or any excipients, concurrent beta-blockers, concurrent ACE inhibitors or ARBs, concurrent NSAIDs, concurrent fibrates, concurrent thiazide diuretics, concurrent corticosteroids, concurrent sympathomimetics, pregnancy in women with a history of diabetic retinopathy",B,drugsdotcom,LOW
insulin glargine,diabetes (type 1) | diabetes,hypoglycemia,C,drugsdotcom + drugdata,MEDIUM
insulin glargine (u-300) pens,diabetes (type 1),depression,C,drugsdotcom,MEDIUM
insulin glargine and lixisenatide,diabetes (type 2),pancreatitis,N,drugsdotcom,UNKNOWN
"insulin glargine-aglr, recombinant (subcutaneous route)",diabetes (type 1),depression,C,drugsdotcom,MEDIUM
insulin glulisine,diabetes (type 1),"renal impairment, hypersensitivity to insulin glulisine or any of its excipients, concurrent beta-blockers, concurrent NSAIDs, concurrent fibrates, concurrent thiazides, concurrent corticosteroids, concurrent sympathomimetics, pregnancy in women with a history of diabetic retinopathy",C,drugsdotcom,MEDIUM
insulin human,diabetes (type 1),"diabetes, hypoglycemia, heart failure",C,drugsdotcom,MEDIUM
insulin isophane,diabetes (type 1),"renal impairment, hypersensitivity to insulin isophane, concurrent beta-blockers, concurrent NSAIDs, concurrent ACE inhibitors, concurrent thiazide diuretics, concurrent corticosteroids, concurrent sympathomimetics, pregnancy in severe cases",B,drugsdotcom,LOW
insulin isophane and insulin regular,diabetes (type 1),"renal failure, hepatic impairment, hypersensitivity to insulin isophane and insulin regular, concurrent beta-blockers, concurrent NSAIDs, concurrent fibrates, concurrent thiazide diuretics, concurrent corticosteroids, concurrent estrogens, concurrent growth hormone, concurrent thyroid hormones, concurrent sympathomimetics, concurrent MAOIs, concurrent tricyclic antidepressants, concurrent salicy",B,drugsdotcom,LOW
insulin lispro,diabetes (type 1),hypoglycemia,B,drugsdotcom,LOW
insulin lispro (u-200) pens,diabetes (type 1),"renal impairment, hypersensitivity to insulin lispro or any of its excipients, concurrent beta-blockers, concurrent NSAIDs, concurrent fibrates, concurrent warfarin, pregnancy in women with a history of diabetic retinopathy",B,drugsdotcom,LOW
insulin lispro and insulin lispro protamine,diabetes (type 1),"renal impairment, hypersensitivity to insulin lispro or any component, concurrent beta-blockers, concurrent NSAIDs, concurrent fibrates, concurrent thiazide diuretics, concurrent ACE inhibitors, concurrent ARBs, concurrent potassium-sparing diuretics, concurrent potassium supplements, concurrent potassium-containing medications, concurrent other insulin products, pregnancy in severe insulin resistance or ketoacidosis.",B,drugsdotcom,LOW
insulin nph and regular (subcutaneous route),diabetes (type 1),depression,B,drugsdotcom,LOW
insulin regular,diabetes (type 1),"renal failure, hepatic impairment, hypersensitivity to insulin, concurrent beta-blockers, concurrent MAOIs, concurrent NSAIDs, concurrent warfarin, pregnancy in severe cases of preeclampsia or diabetic ketoacidosis.",B,drugsdotcom,LOW
"insulin regular, concentrated (u-500)",diabetes (type 1),"renal failure, hepatic impairment, hypersensitivity to insulin, concurrent beta-blockers, concurrent MAOIs, concurrent NSAIDs, concurrent tricyclic antidepressants, concurrent salicylates, concurrent corticosteroids, concurrent thyroid medications, concurrent estrogen-containing medications, concurrent warfarin, concurrent oral hypoglycemic agents, concurrent anabolic steroids, concurrent growth hormone, concurrent thyroid hormone",B,drugsdotcom,LOW
ipratropium (inhalation route),asthma,"renal failure, hepatic impairment, hypersensitivity to atropine or other anticholinergic medications, concurrent beta-blockers, pregnancy",B,drugsdotcom,LOW
ipratropium inhalation,asthma,"renal failure, severe bladder outflow obstruction, narrow-angle glaucoma, hypersensitivity to ipratropium or atropine, concurrent MAOIs, pregnancy",B,drugsdotcom,LOW
ipratropium inhalation aerosol,asthma,"renal failure, hypersensitivity to ipratropium or atropine, narrow-angle glaucoma, prostatic hyperplasia or bladder neck obstruction, concurrent beta-blockers, pregnancy",B,drugsdotcom,LOW
ipratropium inhalation solution,asthma,"renal failure, hypersensitivity to ipratropium or atropine, severe bladder outflow obstruction, narrow-angle glaucoma, prostatic hypertrophy, pregnancy (use only if benefits outweigh risks).",B,drugsdotcom,LOW
irbesartan,hypertension,hyperkalemia,D,drugsdotcom,HIGH
isosorbide dinitrate,angina,angina,C,drugsdotcom,MEDIUM
"isosorbide dinitrate (oral route, sublingual route)",angina,"hepatic impairment, severe anemia, severe hypotension, concurrent phosphodiesterase inhibitors, concurrent PDE5 inhibitors, severe left ventricular failure, hypersensitivity, pregnancy, concurrent sildenafil, concurrent tadalafil, concurrent vardenafil, concurrent riociguat",C,drugsdotcom,MEDIUM
isosorbide mononitrate,angina,angina,C,drugsdotcom + drugdata,MEDIUM
isradipine,hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to dihydropyridines, concurrent beta-blockers, concurrent verapamil, pregnancy, severe aortic stenosis",C,drugsdotcom,MEDIUM
ketorolac (nasal),pain,anemia,C,drugsdotcom,MEDIUM
labetalol (oral/injection),hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to labetalol, concurrent MAOIs, pheochromocytoma, severe heart failure, pregnancy (especially in the second and third trimesters), concurrent beta-blockers with certain calcium channel blockers.",C,drugsdotcom,MEDIUM
lacosamide (oral/injection),seizures,depression,C,drugsdotcom,MEDIUM
lansoprazole,gerd (heartburn),lupus,B,drugsdotcom,LOW
levalbuterol inhalation,asthma,asthma,C,drugsdotcom,MEDIUM
levamlodipine,hypertension,"angina, heart attack",N,drugsdotcom,UNKNOWN
levetiracetam,seizures | epilepsy,depression,C,drugsdotcom + drugdata,MEDIUM
levetiracetam (oral route),seizures,depression,C,drugsdotcom,MEDIUM
levetiracetam (oral/injection),bipolar disorder | seizures,depression,C,drugsdotcom,MEDIUM
levetiracetam extended-release tablets,seizures,"depression, anemia",C,drugsdotcom,MEDIUM
levetiracetam tablets,seizures,"depression, anemia",C,drugsdotcom,MEDIUM
levofloxacin,bacterial infections,"hepatic impairment, renal failure, hypersensitivity to levofloxacin or other fluoroquinolones, concurrent warfarin, pregnancy (especially in the 1st trimester), concurrent antacids or multivitamins containing calcium, magnesium, or aluminum.",C,drugdata,MEDIUM
levorphanol (oral),pain,"renal failure, severe hepatic impairment, respiratory depression in patients with sleep apnea, severe respiratory disease, severe head injury, severe acute asthma, severe chronic obstructive pulmonary disease (COPD), concurrent MAOIs, concurrent other opioids, concurrent sedatives, concurrent CNS depressants, hypersensitivity to other opioids, pregnancy, severe hypothyroidism, severe adrenal insufficiency, severe hyp",C,drugsdotcom,MEDIUM
levothyroxine,hypothyroidism | thyroid disorder,"hepatic impairment, renal failure, hypersensitivity to levothyroxine, adrenal insufficiency, untreated thyrotoxicosis, untreated pituitary thyroid axis disorders, concurrent sympathomimetics, concurrent beta-agonists, concurrent amiodarone, pregnancy with severe hyperthyroidism, severe uncontrolled hypertension.",C,drugsdotcom + drugdata,MEDIUM
levothyroxine (oral route),hypothyroidism,"pregnancy, depression",A,drugsdotcom,SAFE
levothyroxine (oral/injection),hypothyroidism,"hepatic impairment, renal failure, hypersensitivity, concurrent warfarin, concurrent amiodarone, concurrent beta-blockers, severe uncontrolled hypertension, untreated adrenal insufficiency, untreated pheochromocytoma, severe cardiovascular disease, severe angina, severe arrhythmias, severe heart failure, pregnancy (high doses), concurrent sympathomimetics.",A,drugsdotcom,SAFE
levothyroxine sodium,hypothyroidism,"hepatic impairment, renal failure, hypersensitivity to levothyroxine sodium, concurrent warfarin, concurrent amiodarone, concurrent beta-blockers, uncorrected adrenal insufficiency, untreated thyrotoxicosis, severe cardiovascular disease, severe angina, severe hypertension, severe hyperthyroidism, pregnancy with severe heart disease, pregnancy with untreated pheochromoc",A,drugsdotcom,SAFE
lidocaine,pain,"hepatic impairment, renal failure, severe heart block, hypersensitivity to amide-type local anesthetics, concurrent MAOIs, pregnancy (especially in third trimester), severe hypovolemia.",B,drugsdotcom,LOW
lidocaine (topical application route),pain,"hepatic impairment, renal failure, severe heart block, hypersensitivity to amide-type local anesthetics, concurrent MAOIs, pregnancy (especially in third trimester), severe hypovolemia.",B,drugsdotcom,LOW
lidocaine aerosol,pain,"hepatic impairment, renal failure, hypersensitivity to local anesthetics, concurrent MAOIs, pregnancy, severe heart block, Wolff-Parkinson-White syndrome",B,drugsdotcom,LOW
lidocaine hydrochloride,pain,"hepatic impairment, renal failure, severe heart block, hypersensitivity to amide-type local anesthetics, concurrent MAOIs, pregnancy (especially in third trimester), severe hypovolemia.",B,drugsdotcom,LOW
lidocaine topical,gastrointestinal | pain,"hepatic impairment, renal failure, hypersensitivity to lidocaine, concurrent MAOIs, pregnancy, concurrent beta-blockers, concurrent anti-arrhythmics.",B,drugsdotcom,LOW
linagliptin,diabetes (type 2),"heart failure, autoimmune disease, pancreatitis",B,drugsdotcom,LOW
linagliptin and metformin,diabetes (type 2),"heart failure, autoimmune disease, pancreatitis",B,drugsdotcom,LOW
liothyronine,hypothyroidism,"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, pregnancy, concurrent warfarin, concurrent beta blockers, concurrent sympathomimetics, concurrent stimulants, concurrent SSRIs, concurrent TCAs, concurrent other thyroid hormones.",A,drugsdotcom,SAFE
liothyronine (intravenous route),hypothyroidism,"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, pregnancy, concurrent warfarin, concurrent beta blockers, concurrent sympathomimetics, concurrent stimulants, concurrent SSRIs, concurrent TCAs, concurrent other thyroid hormones.",A,drugsdotcom,SAFE
liraglutide,diabetes (type 2) | weight loss,pancreatitis,C,drugsdotcom,MEDIUM
lisinopril,hypertension,hyperkalemia,D,drugsdotcom + drugdata,HIGH
lixisenatide,diabetes (type 2),pancreatitis,N,drugsdotcom,UNKNOWN
loperamide,diarrhea,"hepatic impairment, renal failure, severe constipation, ileus, toxic megacolon, hypersensitivity, concurrent MAOIs, pregnancy, concurrent opioids, concurrent anticholinergics.",C,drugsdotcom,MEDIUM
loperamide (oral route),diarrhea,"hepatic impairment, renal failure, severe constipation, ileus, toxic megacolon, hypersensitivity, concurrent MAOIs, pregnancy, concurrent opioids, concurrent anticholinergics.",C,drugsdotcom,MEDIUM
loperamide hydrochloride,diarrhea,"renal failure, severe hepatic impairment, severe electrolyte disturbances, concurrent MAOIs, hypersensitivity to loperamide, pregnancy (use only if benefits outweigh risks), concurrent QT prolonging medications.",C,drugsdotcom,MEDIUM
loratadine,allergies | hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to loratadine or other azoles, concurrent ketoconazole, concurrent erythromycin, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom + drugdata,MEDIUM
loratadine and pseudoephedrine,hayfever,"hepatic impairment, renal failure, hypersensitivity to loratadine or pseudoephedrine, concurrent MAOIs, pregnancy, severe hypertension, coronary artery disease, thyroid disease, concurrent SSRIs, concurrent beta blockers, concurrent guanethidine.",B,drugsdotcom,LOW
loratadine and pseudoephedrine (oral route),hayfever,"hepatic impairment, renal failure, hypersensitivity to loratadine or pseudoephedrine, concurrent MAOIs, pregnancy, severe hypertension, coronary artery disease, thyroid disease, concurrent SSRIs, concurrent beta blockers, concurrent guanethidine.",B,drugsdotcom,LOW
loratadine chewable tablets,hayfever,"hepatic impairment, renal failure, hypersensitivity to loratadine, concurrent MAOIs, pregnancy category C (use with caution), severe kidney disease, severe liver disease.",B,drugsdotcom,LOW
losartan,hypertension,"low blood pressure, kidney failure, hyperkalemia",D,drugsdotcom + drugdata,HIGH
magnesium salicylate,pain,"renal failure, severe hepatic impairment, hypersensitivity to salicylates, concurrent anticoagulants, concurrent NSAIDs, pregnancy (third trimester), bleeding disorders.",C,drugsdotcom,MEDIUM
mecamylamine,hypertension,"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, severe heart failure, severe coronary artery disease, pregnancy, concurrent beta-blockers.",C,drugsdotcom,MEDIUM
mefenamic acid,pain,anemia,C,drugsdotcom,MEDIUM
meloxicam (intravenous route),pain,"renal failure, severe hepatic impairment, hypersensitivity to meloxicam or NSAIDs, concurrent anticoagulants, pregnancy (third trimester), concurrent ACE inhibitors or diuretics.",C,drugsdotcom,MEDIUM
"menthol gel, liquid, and solution",pain,"renal failure, hepatic impairment, hypersensitivity to menthol, concurrent MAOIs, pregnancy, concurrent warfarin",N,drugsdotcom,UNKNOWN
menthol patch,pain,"renal failure, hepatic impairment, hypersensitivity to menthol or other ingredients, concurrent MAOIs, pregnancy (use with caution, but no severe risks documented)",N,drugsdotcom,UNKNOWN
menthol topical,pain,"renal failure, hepatic impairment, hypersensitivity to menthol, concurrent MAOIs, concurrent beta blockers, concurrent certain anticholinergics, pregnancy, breastfeeding.",N,drugsdotcom,UNKNOWN
meperidine,pain,"renal failure, severe respiratory depression, severe head injury, acute alcoholism, hypersensitivity, concurrent MAOIs, pregnancy, concurrent SSRIs, concurrent TCAs, concurrent opioids, severe liver disease, Addison's disease, hypothyroidism, hypovolemia, concurrent CYP3A4 inhibitors.",C,drugsdotcom,MEDIUM
meperidine (oral route),pain,depression,C,drugsdotcom,MEDIUM
meperidine (oral/injection),pain,"renal failure, severe respiratory depression, severe head injury, acute alcoholism, hypersensitivity, concurrent MAOIs, pregnancy, concurrent SSRIs, concurrent TCAs, concurrent opioids, concurrent sedatives, severe liver disease, Addison's disease, hypothyroidism, prostatic hypertrophy, severe cardiac disease, concurrent CYP3A4 inhibitors.",C,drugsdotcom,MEDIUM
mepolizumab,asthma,"renal impairment, hypersensitivity reactions, concurrent live vaccines, pregnancy category C, concurrent immunosuppressants",N,drugsdotcom,UNKNOWN
metformin,diabetes (type 2) | type 2 diabetes,"renal impairment, hepatic impairment, severe infection or sepsis, acute heart failure, severe respiratory failure, hypersensitivity to metformin, concurrent iodinated contrast agents, pregnancy with severe kidney disease or heart failure, concurrent NSAIDs or salicylates.",C,drugsdotcom + drugdata,MEDIUM
metformin and pioglitazone,diabetes (type 2),anemia,C,drugsdotcom,MEDIUM
metformin and saxagliptin,diabetes (type 2),"heart failure, autoimmune disease, pancreatitis",B,drugsdotcom,LOW
metformin and sitagliptin,diabetes (type 2),"diabetes, heart failure, autoimmune disease, pancreatitis",B,drugsdotcom,LOW
methadone (oral route),pain,depression,C,drugsdotcom,MEDIUM
methadone (oral/injection),pain,"renal failure, hepatic impairment, respiratory depression, hypotension, hypovolemia, concurrent MAOIs, benzodiazepines, SSRIs, pregnancy, severe respiratory disease, severe cardiac disease, severe electrolyte imbalance.",C,drugsdotcom,MEDIUM
methsuximide,seizures,lupus,N,drugsdotcom,UNKNOWN
"methyl salicylate, menthol, and capsaicin cream and ointment",pain,"renal failure, hepatic impairment, hypersensitivity to salicylates, concurrent anticoagulants, pregnancy (use with caution, but no severe risks documented)",N,drugsdotcom,UNKNOWN
"methyl salicylate, menthol, and capsaicin lotion",pain,"renal failure, hepatic impairment, hypersensitivity to salicylates, concurrent anticoagulants, pregnancy (use with caution, but no severe risks documented)",N,drugsdotcom,UNKNOWN
"methyl salicylate, menthol, capsaicin",pain,"renal failure, hepatic impairment, hypersensitivity to salicylates, concurrent anticoagulants, pregnancy (use with caution, but no severe risks documented)",N,drugsdotcom,UNKNOWN
methyldopa,hypertension,"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, pregnancy at term, severe bradycardia, heart block, sick sinus syndrome, hypotension, dehydration, volume depletion, severe dehydration, severe hypovolemia, severe hypotension, severe heart failure, severe cardiac disease, severe renal disease, severe hepatic disease, severe electrolyte imbalance, severe",C,drugsdotcom,MEDIUM
methyldopa and hydrochlorothiazide (oral route),hypertension,depression,C,drugsdotcom,MEDIUM
methylprednisolone (injection),asthma,depression,C,drugsdotcom,MEDIUM
methylprednisolone (oral),asthma,depression,C,drugsdotcom,MEDIUM
metoclopramide,gerd (heartburn),depression,B,drugsdotcom,LOW
metoclopramide (oral/injection),gerd (heartburn),depression,B,drugsdotcom,LOW
metolazone,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to thiazides, concurrent lithium, pregnancy (especially in severe hypertension), concurrent NSAIDs.",B,drugsdotcom,LOW
metoprolol,angina | hypertension,"low blood pressure, depression",C,drugsdotcom + drugdata,MEDIUM
metoprolol (oral route),angina,"hepatic impairment, severe heart failure, hypersensitivity to metoprolol or other beta-blockers, severe bradycardia, heart block, asthma, COPD, concurrent MAOIs, pheochromocytoma, pregnancy (especially in the 2nd and 3rd trimesters), severe peripheral artery disease.",C,drugsdotcom,MEDIUM
metoprolol and hydrochlorothiazide (oral route),hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to metoprolol or hydrochlorothiazide, concurrent beta-blockers, concurrent NSAIDs, pregnancy (especially in the second and third trimesters), severe bradycardia, heart block, asthma, chronic obstructive pulmonary disease (COPD).",C,drugsdotcom,MEDIUM
metoprolol and hydrochlorothiazide extended-release tablets,hypertension,depression,C,drugsdotcom,MEDIUM
metoprolol extended-release capsules,angina,depression,C,drugsdotcom,MEDIUM
"metoprolol succinate tablet, extended release",angina,depression,C,drugsdotcom,MEDIUM
metronidazole,pneumonia | bacterial infections,"hepatic impairment, renal failure, severe immunodeficiency, hypersensitivity to metronidazole or nitroimidazoles, concurrent warfarin, disulfiram, or alcohol consumption, pregnancy (especially during first trimester), concurrent lithium.",C,drugsdotcom + drugdata,MEDIUM
midazolam (nasal),seizures,depression,D,drugsdotcom,HIGH
midazolam (oral),seizures,"Hepatic impairment, renal failure, severe respiratory depression, acute narrow-angle glaucoma, severe cardiovascular disease, severe respiratory disease, severe head injury, acute angle-closure glaucoma, pregnancy, concurrent opioids, benzodiazepines, or other CNS depressants.",D,drugsdotcom,HIGH
miglitol,diabetes (type 2),"renal failure, severe hepatic impairment, hypersensitivity to miglitol, concurrent use of ACE inhibitors or ARBs, pregnancy",B,drugsdotcom,LOW
minoxidil,hair loss | hypertension,"hepatic impairment, renal failure, hypersensitivity, concurrent beta-blockers, concurrent calcium channel blockers, pregnancy, concurrent warfarin, concurrent NSAIDs, concurrent diuretics, concurrent MAOIs, concurrent sympathomimetics.",C,drugsdotcom,MEDIUM
mixed grass pollens allergen extract,hayfever,"renal failure, severe hepatic impairment, hypersensitivity to the extract, concurrent beta-blockers, concurrent MAOIs, pregnancy or breastfeeding.",B,drugsdotcom,LOW
mixed grass pollens allergen extract brand name: oralair,hayfever,"renal impairment, severe asthma, severe chronic obstructive pulmonary disease (COPD), severe cardiovascular disease, severe hypertension, severe liver disease, hypersensitivity to grass pollen, concurrent beta-blockers, concurrent MAOIs, concurrent tricyclic antidepressants, concurrent sympathomimetics, pregnancy and breastfeeding",B,drugsdotcom,LOW
moexipril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
mometasone,hayfever,depression,C,drugsdotcom,MEDIUM
mometasone / olopatadine,hayfever,depression,N,drugsdotcom,UNKNOWN
mometasone nasal,hayfever,depression,C,drugsdotcom,MEDIUM
montelukast,asthma,depression,B,drugsdotcom,LOW
morphine,severe pain,"renal failure, respiratory depression, severe hepatic impairment, biliary obstruction, head injury, intracranial hypertension, hypotension, hypovolemia, respiratory disease, concurrent MAOIs, concurrent SSRIs, pregnancy, hypersensitivity, concurrent benzodiazepines, concurrent sedatives, concurrent other opioids.",C,drugdata,MEDIUM
morphine (injection route),pain,low blood pressure,C,drugsdotcom,MEDIUM
morphine (injection),pain,"renal failure, respiratory depression, severe hepatic impairment, biliary obstruction, severe head injury, acute intoxication with alcohol, benzodiazepines, or other central nervous system depressants, hypersensitivity, pregnancy, concurrent MAOIs, concurrent SSRIs, concurrent TCAs, concurrent tramadol, concurrent pethidine.",C,drugsdotcom,MEDIUM
morphine (oral),pain,"renal failure, respiratory depression, severe hepatic impairment, biliary obstruction, head injury, intracranial hypertension, hypothyroidism, hypovolemia, concurrent MAOIs, pregnancy, respiratory disease, severe sleep apnea, severe asthma, severe COPD, concurrent benzodiazepines, concurrent sedatives, concurrent antidepressants, concurrent antihistamines, concurrent antich",C,drugsdotcom,MEDIUM
nadolol,angina,bronchospasm,C,drugsdotcom,MEDIUM
nadolol and bendroflumethiazide (oral route),hypertension,low blood pressure,C,drugsdotcom,MEDIUM
nalbuphine,pain,"renal failure, severe respiratory depression, severe hepatic impairment, biliary obstruction, hypersensitivity to nalbuphine or other opioids, concurrent MAOIs, pregnancy, concurrent benzodiazepines or other central nervous system depressants.",B,drugsdotcom,LOW
naloxone and pentazocine (oral),pain,"renal failure, hepatic impairment, respiratory depression, concurrent MAOIs, hypersensitivity to naloxone or pentazocine, pregnancy, concurrent benzodiazepines, concurrent opioids.",C,drugsdotcom,MEDIUM
naproxen,osteoarthritis | pain and inflammation,anemia,C,drugsdotcom + drugdata,MEDIUM
nateglinide (oral),diabetes (type 2),"renal failure, severe hepatic impairment, hypersensitivity to nateglinide, concurrent use of beta-blockers, pregnancy",C,drugsdotcom,MEDIUM
nebivolol,hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to beta-blockers, concurrent MAOIs, severe bradycardia, heart block, pregnancy (especially in the second and third trimesters), severe asthma or COPD.",C,drugsdotcom,MEDIUM
nebivolol and valsartan,hypertension,hyperkalemia,N,drugsdotcom,UNKNOWN
neomycin,diarrhea,"renal impairment, severe kidney disease, ototoxicity in patients with pre-existing hearing loss, severe allergy to aminoglycosides, pregnancy, concurrent loop diuretics, concurrent other nephrotoxic agents",D,drugsdotcom,HIGH
nicardipine (intravenous route),hypertension,"renal failure, severe hepatic impairment, hypersensitivity to nicardipine, concurrent beta-blockers, concurrent cyclosporine, pregnancy (especially in severe hypertension), severe aortic stenosis",C,drugsdotcom,MEDIUM
nicardipine (oral/injection),hypertension,"renal failure, severe hepatic impairment, hypersensitivity to nicardipine, concurrent beta-blockers, concurrent cyclosporine, pregnancy (especially in severe hypertension), severe aortic stenosis",C,drugsdotcom,MEDIUM
nifedipine,hypertension,angina,C,drugsdotcom,MEDIUM
nifedipine (oral route),hypertension,"hepatic impairment, severe aortic stenosis, hypersensitivity, concurrent beta-blockers, pregnancy (especially in the third trimester), severe left ventricular dysfunction, severe hypotension.",C,drugsdotcom,MEDIUM
nisoldipine,hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to nisoldipine, concurrent beta-blockers, concurrent cyclosporine, pregnancy, severe aortic stenosis",C,drugsdotcom,MEDIUM
nitroglycerin,angina,heart attack,C,drugsdotcom,MEDIUM
"nitroglycerin (oral route, sublingual route)",angina,"hepatic impairment, severe hypotension, severe anemia, severe heart failure, hypersensitivity to nitroglycerin, concurrent sildenafil, concurrent phosphodiesterase inhibitors, pregnancy, concurrent alpha-blockers, concurrent beta-blockers, concurrent calcium channel blockers, concurrent nitrates.",C,drugsdotcom,MEDIUM
nitroglycerin (oral/sublingual),angina,heart attack,C,drugsdotcom,MEDIUM
nitroglycerin (sublingual),angina,heart attack,C,drugsdotcom,MEDIUM
nitroglycerin (topical),angina,heart attack,C,drugsdotcom,MEDIUM
nitroglycerin (transdermal),angina,heart attack,C,drugsdotcom,MEDIUM
nizatidine,gerd (heartburn),"renal failure, severe hepatic impairment, hypersensitivity to nizatidine, concurrent MAOIs, pregnancy",B,drugsdotcom,LOW
octreotide (oral/injection),diabetes (type 1),"hepatic impairment, renal failure, severe hypothyroidism, severe heart failure, severe hypertension, severe bradycardia, hypersensitivity to octreotide, concurrent beta-blockers, concurrent calcium channel blockers, concurrent nitrates, pregnancy, severe kidney disease",B,drugsdotcom,LOW
oliceridine,pain,anemia,N,drugsdotcom,UNKNOWN
olmesartan,hypertension,hyperkalemia,D,drugsdotcom,HIGH
olopatadine (nasal),hayfever,"hepatic impairment, renal failure, hypersensitivity to olopatadine, concurrent MAOIs, pregnancy, concurrent beta-blockers, concurrent warfarin, concurrent theophylline, concurrent erythromycin, concurrent ketoconazole, concurrent cimetidine, concurrent SSRIs, concurrent TCAs, concurrent tricyclic antidepressants.",C,drugsdotcom,MEDIUM
olopatadine hydrochloride and mometasone furoate monohydrate,hayfever,"low blood pressure, tuberculosis, glaucoma",N,drugsdotcom,UNKNOWN
omeprazole,gerd (heartburn) | acid reflux,lupus,C,drugsdotcom + drugdata,MEDIUM
omeprazole and sodium bicarbonate,gerd (heartburn),lupus,C,drugsdotcom,MEDIUM
"omeprazole, sodium bicarbonate and magnesium hydroxide approval date: march 27, 2006 company: santarus, inc. treatment for: heartburn/gerd, erosive esophagitis, duodenal & gastric ulcers",gerd (heartburn),"hepatic impairment, severe renal impairment, hypersensitivity to omeprazole, concurrent warfarin, magnesium hydroxide, and sodium bicarbonate may increase risk of magnesium toxicity in patients with severe renal impairment, pregnancy",C,drugsdotcom,MEDIUM
ondansetron,nausea and vomiting,"renal impairment, severe hepatic impairment, hypersensitivity to ondansetron, concurrent MAOIs, concurrent SSRIs, concurrent ketoconazole, concurrent erythromycin, pregnancy (first trimester), concurrent pimozide",C,drugdata,MEDIUM
opium preparation,diarrhea,"renal failure, hepatic impairment, respiratory depression, severe respiratory disease, severe cardiovascular disease, severe head injury, acute abdomen, severe constipation, pregnancy, concurrent MAOIs, concurrent benzodiazepines, concurrent other central nervous system depressants.",C,drugsdotcom,MEDIUM
oxcarbazepine,anxiety | seizures,depression,C,drugsdotcom,MEDIUM
oxycodone,pain,"renal failure, hepatic impairment, respiratory depression, severe respiratory disease, severe pulmonary disease, severe asthma, severe COPD, head injury, intracranial hypertension, hypersensitivity, concurrent MAOIs, concurrent SSRIs, concurrent TCAs, concurrent benzodiazepines, concurrent other opioids, pregnancy, severe pregnancy, severe pregnancy-induced hypertension, severe hypotension, severe hypovolem",N,drugsdotcom,UNKNOWN
oxycodone (oral route),pain,depression,N,drugsdotcom,UNKNOWN
oxycodone and acetaminophen (oral route),pain,"low blood pressure, depression",C,drugsdotcom,MEDIUM
oxycodone and aspirin (oral route),pain,depression,B,drugsdotcom,LOW
